"Source:","/home/dmcginnis427/Dropbox/KiCad/FB01Teensy/FB01Teensy.sch"
"Date:","Fri 14 Feb 2020 12:26:09 PM CET"
"Tool:","Eeschema 5.1.5-52549c5~84~ubuntu18.04.1"
"Component Count:","16"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D1","LED","LED_THT:LED_D5.0mm","~","",""
"D2","LED","LED_THT:LED_D5.0mm","~","",""
"J1","PJ-102A","dmcginnis427:DC21Jack","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf","CUI Inc.",""
"J2","StereoJack35","dmcginnis427:StereoJack35","","",""
"J3","StereoJack35","dmcginnis427:StereoJack35","","",""
"J4","StereoJack35","dmcginnis427:StereoJack35","","",""
"J5","StereoJack35","dmcginnis427:StereoJack35","","",""
"R1","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R2","220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R3","1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R4","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R5","1.5k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"R6","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"U1","Teensy-LC","TeensyFootprints:Teensy30_31_32_LC","","",""
"U2","HC06","dmcginnis427:HC06","","",""
